col0 col1 col2 col3
"2017-08-01 16:28:49.295000" 10552102.099806655 1757335.0998066538 23.4786805057982
"2017-08-01 16:33:13.700000" 10383944.666666664 1731200.666666667 23.47283069905608
"2017-08-01 16:37:37.021000" 10362565.651455048 1727937.6514550485 23.466682979707766
"2017-08-01 16:41:59.863000" 10353593.866666667 1724950.8666666662 23.460571889637908
"2017-08-01 16:46:22.638000" 10345316.899999999 1722441.9 23.45465051326641
"2017-08-01 16:50:45.465000" 10337596.966666665 1722859.9666666663 23.44828177973107
"2017-08-01 16:55:08.206000" 10340020.566666665 1721956.566666667 23.442001826797863
"2017-08-01 16:59:31.181000" 10339551.066666666 1721383.0666666664 23.435710446674857
"2017-08-01 17:03:54.235000" 10333023.921076322 1721947.921076323 23.429320174296286
"2017-08-01 17:08:16.976000" 10334246.133333333 1721593.1333333333 23.42294059908651
"2017-08-02 16:28:53.305000" 947783.1432476582 1367687.1432476584 20.19589103479708
"2017-08-02 16:33:16.701000" 936116.6666666665 1347255.6666666665 20.195818815674155
"2017-08-02 16:37:39.222000" 934033.7333333332 1344431.7333333334 20.19575698078024
"2017-08-02 16:42:01.919000" 933787.9333333336 1345042.9333333336 20.195684145130077
"2017-08-02 16:46:24.418000" 932276.333333333 1342798.333333333 20.19561647321815
"2017-08-02 16:50:46.980000" 933116.4102427315 1343079.4102427317 20.195548784315253
"2017-08-02 16:55:09.737000" 933194.8333333335 1343777.8333333333 20.19548646450336
"2017-08-02 16:59:32.191000" 933248.719573191 1342841.719573191 20.19542389257689
"2017-08-02 17:03:54.886000" 934058.2 1345352.2 20.195350211115745
"2017-08-02 17:08:17.319000" 933122.5666666668 1341997.5666666664 20.19528190995444
"2017-08-03 16:28:52.495000" 948511.692990062 1364502.6929900618 20.711489663894337
"2017-08-03 16:33:15.268000" 935503.8979829971 1345503.8979829971 20.72214988896219
"2017-08-03 16:37:37.890000" 934734.8666666666 1343637.8666666662 20.732666157011607
"2017-08-03 16:42:00.344000" 933031.333333333 1341330.333333333 20.743006738896
"2017-08-03 16:46:22.861000" 933335.0400760176 1341275.0400760174 20.753101872506132
"2017-08-03 16:50:45.422000" 933917.3333333335 1339266.3333333333 20.762947377805133
"2017-08-03 16:55:07.732000" 933297.7666666664 1338373.7666666664 20.772527519269758
"2017-08-03 16:59:31.125000" 933211.1848492932 1338445.1848492934 20.78178228330219
"2017-08-03 17:03:53.778000" 932955.9666666668 1340824.9666666668 20.790753729888646
"2017-08-03 17:08:16.464000" 932041.4333333332 1337466.433333333 20.799364129072952
"2017-08-04 16:28:54.090000" 958305.8333333331 1407676.8333333335 19.642165846003017
"2017-08-04 16:33:18.066000" 945621.3180636129 1389071.3180636123 19.63156780051002
"2017-08-04 16:37:42.341000" 944084.4142276156 1384863.4142276156 19.621301148611554
"2017-08-04 16:42:05.649000" 943935.6058029017 1384312.6058029016 19.6113679160646
"2017-08-04 16:46:28.486000" 943436.9999999998 1382316.0 19.60187226993085
"2017-08-04 16:50:51.846000" 942740.9000000001 1382738.9000000001 19.592840877231247
"2017-08-04 16:55:14.745000" 942101.333333333 1381854.333333333 19.58427010736517
"2017-08-04 16:59:37.836000" 942684.4999999997 1379152.4999999998 19.576207475184063
"2017-08-04 17:04:00.921000" 943367.3666666666 1380000.3666666662 19.568659326349344
"2017-08-04 17:08:24.022000" 940903.7498333112 1380798.7498333112 19.561715902790652
"2017-08-05 16:28:55.658000" 959321.6000000003 1414617.6 20.423322394468414
"2017-08-05 16:33:19.502000" 946801.493132418 1393538.4931324176 20.429142392072894
"2017-08-05 16:37:42.888000" 945444.7 1390823.6999999997 20.435039027461983
"2017-08-05 16:42:06.194000" 944700.7999999999 1389760.7999999998 20.440990276769647
"2017-08-05 16:46:29.261000" 945058.1333333337 1389698.1333333335 20.447019211436274
"2017-08-05 16:51:10.791000" 943399.4412441242 1389080.4412441244 20.45347748357075
"2017-08-05 16:55:33.879000" 944349.666666667 1386839.6666666667 20.45965025343855
"2017-08-05 17:00:12.881000" 944449.095169839 1387038.095169839 20.466227244598414
"2017-08-05 17:05:21.620000" 943694.6517883928 1390284.651788393 20.4735600595498
"2017-08-05 17:09:45.312000" 943729.4655730051 1389856.4655730054 20.47989391117125
"2017-08-06 16:28:53.031000" 949423.9479965334 1407964.9479965332 20.490591795195346
"2017-08-06 16:33:16.325000" 938716.048546279 1387439.0485462793 20.497752689398634
"2017-08-06 16:37:38.891000" 935262.1666666665 1385124.1666666665 20.50491170065327
"2017-08-06 16:42:01.510000" 935256.3999999997 1383019.3999999997 20.51209107193158
"2017-08-06 16:46:24.939000" 933965.5051683891 1384052.505168389 20.519428578405872
"2017-08-06 16:50:47.386000" 932990.6767363539 1383017.676736354 20.526801457441845
"2017-08-06 16:55:11.349000" 934232.5333333332 1383168.5333333334 20.534170319079145
"2017-08-06 16:59:34.038000" 934035.3333333331 1382990.3333333337 20.541801901703877
"2017-08-06 17:03:56.844000" 933629.2333333336 1383730.2333333339 20.549005805746454
"2017-08-06 17:08:19.435000" 933310.9000000001 1382718.9 20.556478961214854
"2017-08-07 16:28:53.272000" 957235.8542993368 1416956.8542993367 20.151758257215405
"2017-08-07 16:33:16.255000" 944066.9793319551 1395929.9793319553 20.149642445474495
"2017-08-07 16:37:39.273000" 944055.3333333331 1393319.3333333335 20.147449382144796
"2017-08-07 16:42:03.256000" 942195.265235365 1391642.265235365 20.14527451860121
"2017-08-07 16:46:26.010000" 943049.2666666668 1390181.2666666666 20.14415718728796
