col0 col1 col2 col3
"2017-10-02 20:02:05.792000" 3258537.5099536492 3370663.5099536492 20.674293021561684
"2017-10-02 20:08:00.199000" 3267891.772192407 3377982.7721924074 20.674209795783547
"2017-10-02 20:13:55.624000" 3276460.500000001 3393634.500000001 20.674100294645957
"2017-10-02 20:19:49.849000" 3283610.3727706103 3396372.3727706103 20.674040655874773
"2017-10-02 20:25:44.415000" 3284899.288582769 3398199.2885827688 20.673919774130674
"2017-10-02 20:31:46.090000" 3290177.5496264677 3404633.5496264677 20.67384313267176
"2017-10-02 20:37:42.042000" 3290879.2333333334 3406765.2333333334 20.673759151726173
"2017-10-02 20:43:37.039000" 3287744.266666667 3415775.2666666675 20.673690589978627
"2017-10-02 20:49:31.880000" 3291386.2833522223 3413008.2833522228 20.673619212336625
"2017-10-02 20:55:26.108000" 3292645.6333333333 3427364.633333334 20.673548226886112
"2017-10-05 17:28:50.175000" 3244946.756583771 3155695.7565837717 20.675978902812382
"2017-10-05 17:34:46.936000" 3258727.5666666664 3165488.5666666664 20.675836511398227
"2017-10-05 17:40:43.099000" 3270111.5999999987 3173095.5999999996 20.67570992162905
"2017-10-05 17:46:38.948000" 3267011.9375833552 3186969.9375833552 20.675573187303655
"2017-10-05 17:52:34.294000" 3268261.613712151 3202184.613712151 20.67543439969913
"2017-10-05 17:58:29.276000" 3270916.4920994733 3213027.4920994737 20.675307527755326
"2017-10-06 17:28:51.166000" 3236038.666666666 3402914.666666666 20.65086843544512
"2017-10-06 17:34:46.999000" 3255242.4701057062 3404040.470105706 20.650743750818023
"2017-10-06 17:40:42.098000" 3256833.6801947504 3410103.680194751 20.650601873581977
"2017-10-06 17:46:37.466000" 3262531.8 3419480.8000000003 20.650482949608115
"2017-10-06 17:52:32.076000" 3266951.3422702416 3436718.3422702416 20.65035672000279
"2017-10-06 17:58:26.718000" 3271996.3625450186 3454934.362545018 20.650220218398946
"2017-10-07 17:28:50.251000" 3245450.7333333325 3158113.7333333325 20.677603950701354
"2017-10-07 17:34:45.882000" 3255625.1308638686 3180281.1308638686 20.677499964236365
"2017-10-07 17:40:39.589000" 3259180.033333333 3184224.033333333 20.677345473402426
"2017-10-07 17:46:34.131000" 3267883.054872154 3189916.054872154 20.6772282593085
"2017-10-07 17:52:30.340000" 3270507.39717258 3200485.3971725805 20.677083151885842
"2017-10-07 17:58:25.195000" 3275733.5989322644 3219316.598932265 20.676972584356395
"2017-10-09 17:28:49.738000" 3258303.018437635 3316099.018437635 20.677328600437182
"2017-10-09 17:34:46.899000" 3269657.6684445636 3331125.6684445636 20.677201431533728
"2017-10-09 17:40:44.603000" 3281233.294572609 3344523.2945726095 20.67706784911433
"2017-10-09 17:46:41.242000" 3288084.4452335695 3352849.4452335695 20.67696230868152
"2017-10-09 17:52:38.909000" 3289683.866666667 3354046.8666666667 20.676825011286567
"2017-10-09 17:58:38.568000" 3293839.4561941596 3366752.4561941596 20.67670439301457
"2017-10-10 17:28:54.700000" 3235871.9333333345 2303469.9333333336 20.675603247287338
"2017-10-10 17:34:50.735000" 3249617.602361023 2321566.6023610234 20.675463787083103
"2017-10-10 17:40:45.449000" 3264664.366666667 2347589.366666667 20.675356609554445
"2017-10-10 17:46:40.288000" 3269154.62100731 2367240.6210073093 20.675236882399833
"2017-10-10 17:52:36.670000" 3275535.9395485315 2387778.939548532 20.675112111710526
"2017-10-10 17:58:31.554000" 3276655.966666667 2411043.9666666663 20.67498221058278
"2017-10-11 17:28:54.282000" 3268015.0494441288 2710771.049444129 20.676421088304174
"2017-10-11 17:34:54.023000" 3278739.8333333344 2726542.833333334 20.67627281231335
"2017-10-11 17:40:54.289000" 3294254.4164277622 2742004.4164277622 20.676157077522973
"2017-10-11 17:46:54.171000" 3300665.74804987 2746953.7480498706 20.67603645106369
"2017-10-11 17:52:55.065000" 3304533.9757991927 2749849.975799193 20.675924691687843
"2017-10-11 17:58:53.937000" 3306101.000000001 2755427.0 20.67578674644313
"2017-10-12 18:28:54.037000" 3270724.033333333 3303559.033333333 38.75515294248445
"2017-10-12 18:34:53.530000" 3281998.9333333336 3318048.9333333336 38.75499836285332
"2017-10-12 18:40:52.561000" 3292977.59754634 3333220.59754634 38.754844229913516
"2017-10-13 17:52:54.547000" 3300123.133333334 3479020.1333333342 20.714592264748408
"2017-10-12 18:46:52.154000" 3299898.900000001 3344127.9000000004 38.75468512433873
"2017-10-12 18:52:51.532000" 3308958.2934862324 3356405.293486232 38.754529048012095
"2017-10-12 18:58:51.331000" 3314471.1980531383 3374635.1980531383 38.75436806054499
"2017-10-12 19:04:51.170000" 3311292.7935195677 3384921.793519568 38.75420951992572
"2017-10-12 19:10:50.102000" 3317264.333333332 3386522.333333333 38.754045920059845
"2017-10-12 19:16:49.069000" 3319018.4333333336 3392301.4333333336 38.75388716928197
"2017-10-12 19:22:48.329000" 3325055.5666666673 3397222.5666666673 38.75372504834541
"2017-10-13 17:28:53.615000" 3267588.366666667 3416522.366666667 20.714817117269224
"2017-10-13 17:34:54.093000" 3274890.804260143 3425649.8042601426 20.714749467464024
"2017-10-13 17:40:55.226000" 3287157.9999999986 3444647.9999999995 20.71469838109635
"2017-10-13 17:46:54.625000" 3296108.962629596 3462873.962629596 20.714664780313438
"2017-10-14 18:28:56.914000" 3265063.133333333 3481760.133333333 20.679340497547642
"2017-10-14 18:34:58.079000" 3281527.166666666 3494624.1666666665 20.679238582798007
"2017-10-14 18:40:59.392000" 3286043.5000000005 3509121.5 20.679128513384658
